DATE,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max,BASEL_humidity,BASEL_pressure,BASEL_cloud_cover,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine
20000816,22.8,17.2,28.2,0.69,1.0173,1,2.52,0.0,11.9
20000817,22.1,17.8,27.5,0.74,1.0152,3,1.84,1.0,6.8
20000818,21.4,19.2,25.0,0.85,1.0143,7,1.0,0.18,1.0
20000819,24.0,18.6,30.7,0.65,1.0139,5,2.43,0.0,10.0
20000820,24.9,17.8,33.0,0.64,1.0119,4,2.23,1.24,9.4
20000821,18.8,16.0,23.0,0.86,1.0161,5,0.91,1.57,2.2
20000822,18.1,14.0,23.3,0.75,1.0196,5,2.18,0.0,8.5
20000823,19.2,13.1,26.0,0.74,1.0199,3,2.5,0.0,11.8
20000824,21.0,14.3,28.8,0.7,1.022,1,2.5,0.0,12.6
20000825,20.9,14.6,28.8,0.68,1.0197,1,2.48,0.0,12.6
20000826,21.9,13.5,29.7,0.65,1.0119,3,2.27,0.85,11.4
20000827,18.0,15.0,21.5,0.76,1.0179,6,0.8,0.28,1.2
20000828,17.3,13.1,22.6,0.69,1.0215,3,2.0,0.0,8.5
20000829,17.4,11.7,23.3,0.7,1.0202,5,2.24,0.0,10.7
20000830,16.6,13.4,19.9,0.82,1.0156,8,0.88,0.74,0.9
20000831,16.2,14.8,19.0,0.89,1.0111,7,0.64,2.62,0.0
20000901,18.0,13.8,22.9,0.75,1.0099,3,1.75,0.16,8.5
20000902,15.9,13.4,19.6,0.69,1.0116,6,1.63,0.68,3.4
20000903,14.3,12.8,16.8,0.85,1.0156,7,0.97,1.22,1.3
20000904,14.0,10.7,17.6,0.78,1.0211,7,1.54,0.01,3.5
20000905,13.6,9.6,18.4,0.76,1.0243,4,1.73,0.0,5.2
20000906,14.4,10.5,18.3,0.78,1.0184,7,1.2,0.52,1.9
20000907,15.5,10.4,19.6,0.71,1.0176,6,2.03,0.0,8.8
20000908,15.2,8.6,22.3,0.69,1.0229,0,2.23,0.0,12.2
20000909,17.2,11.0,24.1,0.72,1.024,5,2.07,0.0,11.4
20000910,18.5,12.8,25.0,0.75,1.0214,3,2.12,0.0,11.8
20000911,19.3,13.8,25.9,0.76,1.0166,1,2.07,0.0,11.5
20000912,20.5,14.2,27.0,0.75,1.0134,7,1.85,0.08,10.4
20000913,18.8,16.2,22.8,0.8,1.0154,5,1.14,0.0,4.9
20000914,19.1,14.6,24.4,0.78,1.0162,6,1.59,0.0,7.0
20000915,21.3,16.1,26.8,0.73,1.0132,3,1.77,0.0,9.7
20000916,17.1,13.9,22.0,0.63,1.0138,7,1.31,0.0,3.4
20000917,15.4,11.8,19.2,0.66,1.0138,7,1.62,0.0,6.7
20000918,15.2,10.0,21.6,0.74,1.0093,3,1.96,0.0,10.7
20000919,17.9,11.6,24.6,0.69,1.0037,2,1.9,0.03,10.8
20000920,14.7,13.3,17.0,0.85,1.0071,8,0.3,1.8,0.1
20000921,13.5,9.8,18.1,0.77,1.0185,5,1.26,0.0,4.4
20000922,14.1,8.4,21.0,0.73,1.0243,3,1.79,0.0,9.1
20000923,14.5,8.7,20.1,0.74,1.0214,1,1.87,0.0,11.4
20000924,16.0,10.5,22.5,0.75,1.0193,3,1.8,0.0,10.7
20000925,16.2,13.0,21.4,0.82,1.0228,7,0.89,0.0,1.2
20000926,17.9,12.7,24.5,0.77,1.0208,6,1.57,0.0,9.3
20000927,17.9,13.8,22.9,0.78,1.0189,6,1.22,0.0,4.4
20000928,19.1,14.3,25.9,0.72,1.0102,5,1.59,0.0,7.5
20000929,18.1,12.6,24.4,0.73,1.0027,2,1.64,0.0,8.9
20000930,14.7,13.7,16.1,0.84,1.0066,8,0.15,0.94,0.0
20001001,14.6,12.5,17.0,0.84,1.0081,7,0.65,0.0,0.4
20001002,12.8,11.0,16.1,0.78,1.0129,6,0.73,0.04,1.5
20001003,13.1,11.5,16.1,0.79,1.022,7,0.81,0.0,0.4
20001004,13.9,10.1,18.0,0.76,1.0214,6,1.17,0.0,4.1
20001005,12.5,8.1,16.5,0.81,1.0196,7,0.96,0.62,1.9
20001006,10.5,8.3,13.0,0.8,1.024,6,0.78,0.17,2.4
20001007,8.3,4.9,12.8,0.82,1.0255,5,1.14,0.44,4.5
20001008,8.0,3.3,12.2,0.83,1.0213,7,1.29,0.68,5.0
20001009,10.4,7.1,14.6,0.78,1.0123,4,1.15,0.25,3.7
20001010,10.7,7.3,13.9,0.66,0.9999,6,0.98,0.06,4.0
20001011,11.1,8.0,13.9,0.79,0.9927,8,0.17,0.79,0.0
20001012,12.1,9.5,14.9,0.84,1.0018,7,0.71,0.55,0.3
20001013,10.9,9.5,12.1,0.89,1.0126,8,0.26,0.19,0.0
20001014,11.7,9.9,13.4,0.91,1.0146,8,0.28,0.02,0.0
20001015,12.9,11.6,15.7,0.87,1.0081,7,0.47,0.37,0.3
20001016,13.9,10.2,18.8,0.79,1.0133,4,1.32,0.0,7.6
20001017,11.9,9.5,14.7,0.79,1.0255,7,0.58,0.33,0.0
20001018,11.7,9.2,14.6,0.82,1.0249,7,0.83,0.02,0.9
20001019,12.9,11.1,15.1,0.85,1.0217,6,0.53,0.06,0.4
20001020,12.8,10.4,16.6,0.83,1.0205,5,1.04,0.0,5.5
20001021,13.1,9.3,17.9,0.82,1.0248,5,1.09,0.0,7.3
20001022,11.8,8.3,16.5,0.84,1.0291,0,1.19,0.0,7.8
20001023,12.2,9.0,17.2,0.82,1.0263,1,1.2,0.15,9.3
20001024,13.4,10.8,16.6,0.89,1.0239,7,0.36,0.25,0.3
20001025,14.6,10.2,19.5,0.82,1.0176,7,0.97,0.06,4.3
20001026,12.9,10.9,16.0,0.79,1.018,8,0.53,0.0,0.7
20001027,11.0,7.0,14.7,0.73,1.0226,5,1.06,0.0,6.0
20001028,10.5,5.7,16.3,0.79,1.0191,4,1.11,0.0,8.6
20001029,10.4,6.4,14.2,0.7,1.0196,6,0.5,0.04,1.9
20001030,13.9,5.1,20.1,0.58,1.0051,7,0.63,0.78,1.2
20001031,9.7,7.6,17.2,0.78,1.006,7,0.28,0.48,0.2
20001101,11.3,6.8,14.7,0.62,1.0095,4,0.91,0.0,5.9
20001102,11.4,7.1,14.1,0.65,1.0049,5,0.55,0.95,4.2
20001103,9.3,7.8,12.3,0.87,1.0034,8,0.12,0.15,0.0
20001104,7.8,6.0,11.5,0.78,1.0137,7,0.63,0.17,2.7
20001105,7.5,4.6,11.4,0.74,1.0114,3,1.01,0.02,8.7
20001106,8.6,6.1,11.9,0.72,0.9882,8,0.1,0.52,0.3
20001107,11.1,9.4,13.3,0.52,0.9893,7,0.66,0.0,2.7
20001108,10.4,8.2,13.8,0.49,0.9993,5,0.71,0.02,3.4
20001109,8.3,3.7,11.9,0.71,1.0125,7,0.41,0.09,0.3
20001110,6.6,3.3,10.0,0.76,1.0227,7,0.43,0.0,0.5
20001111,5.6,1.5,11.0,0.77,1.0244,3,0.91,0.0,7.7
20001112,7.0,3.1,10.1,0.68,1.0117,7,0.23,0.08,0.0
20001113,9.6,7.6,11.9,0.82,1.004,8,0.21,1.15,0.0
20001114,7.0,4.5,8.8,0.9,1.0107,8,0.09,1.1,0.0
20001115,6.2,3.6,8.8,0.86,1.0177,7,0.38,0.0,0.0
20001116,5.1,3.0,7.3,0.85,1.0155,8,0.61,0.03,3.1
20001117,5.0,4.0,5.7,0.87,1.0156,8,0.09,1.07,0.0
20001118,4.6,1.9,7.4,0.8,1.0183,7,0.38,0.0,0.5
20001119,4.4,0.6,8.7,0.79,1.0081,6,0.45,0.13,0.5
20001120,7.1,5.8,8.6,0.78,1.0066,7,0.44,0.43,0.7
20001121,6.8,4.7,9.7,0.74,1.0093,3,0.71,0.1,5.5
20001122,8.5,5.9,10.5,0.84,1.0122,6,0.27,0.77,0.6
20001123,9.0,7.8,10.3,0.84,1.0055,8,0.1,0.53,0.0
20001124,6.5,3.5,8.2,0.85,1.0123,6,0.18,0.32,0.0
20001125,5.2,2.3,9.0,0.82,1.0109,3,0.62,0.65,6.0
20001126,7.1,4.9,9.8,0.75,1.0099,7,0.24,0.25,0.2
20001127,7.1,5.0,9.3,0.77,1.0199,7,0.39,0.25,0.6
20001128,9.8,7.0,14.0,0.86,1.0197,5,0.47,0.0,3.2
20001129,8.8,6.9,11.6,0.86,1.016,5,0.52,0.0,3.9
20001130,8.3,6.4,12.1,0.83,1.0191,2,0.53,0.0,4.6
20001201,6.0,4.1,7.9,0.87,1.0188,7,0.56,0.04,4.5
20001202,8.2,6.4,11.2,0.84,1.0184,8,0.26,0.02,0.4
20001203,9.1,7.5,10.5,0.76,1.0217,8,0.26,0.0,0.0
20001204,8.1,5.9,10.7,0.78,1.0203,5,0.59,0.12,6.1
20001205,6.8,4.9,10.6,0.84,1.0191,4,0.6,0.0,6.7
20001206,6.1,4.3,7.8,0.87,1.0179,7,0.28,0.43,0.5
20001207,8.4,6.2,10.0,0.79,1.0109,8,0.15,0.05,0.6
20001208,9.7,8.7,11.7,0.81,1.0116,8,0.06,1.43,0.0
20001209,9.2,6.6,11.8,0.83,1.0186,4,0.45,0.0,2.8
20001210,9.2,4.6,13.5,0.74,1.0224,7,0.14,0.28,0.0
20001211,10.1,7.6,13.3,0.67,1.0286,5,0.53,0.0,5.5
20001212,9.0,6.7,11.1,0.74,1.025,7,0.35,0.0,1.6
20001213,11.7,6.9,15.6,0.6,1.0225,8,0.39,0.0,1.7
20001214,9.3,8.0,11.0,0.66,1.0134,8,0.18,0.22,0.0
20001215,5.7,4.1,9.2,0.78,1.0114,7,0.29,0.16,1.8
20001216,4.3,2.3,5.7,0.72,1.0168,5,0.3,0.21,1.2
20001217,4.8,2.8,7.5,0.73,1.0177,7,0.29,0.03,0.3
20001218,3.0,0.2,5.0,0.8,1.0217,8,0.25,0.0,0.7
20001219,6.1,3.3,11.1,0.78,1.0217,7,0.45,0.0,2.3
